85,income,0.7629,0.7589,0.7565
85,marital,0.9892,0.9599,0.937
86,income,0.764,0.7611,0.7571
86,marital,0.9895,0.96,0.9336
87,income,0.7618,0.7605,0.7522
87,marital,0.9898,0.9568,0.9306
88,income,0.7631,0.7583,0.7554
88,marital,0.9895,0.9598,0.9349
89,income,0.7654,0.7669,0.7591
89,marital,0.989,0.9541,0.9265
90,income,0.7628,0.759,0.7561
90,marital,0.9891,0.9615,0.9352
91,income,0.7585,0.7525,0.7565
91,marital,0.9895,0.9562,0.9263
92,income,0.7634,0.7623,0.7584
92,marital,0.9887,0.9568,0.9296
93,income,0.7453,0.7417,0.737
93,marital,0.9884,0.9554,0.9258
94,income,0.7604,0.7367,0.7433
94,marital,0.9888,0.9552,0.9249
95,income,0.7576,0.7586,0.7555
95,marital,0.9889,0.9485,0.9093
96,income,0.7612,0.7456,0.75
96,marital,0.9883,0.9537,0.9195
97,income,0.761,0.7359,0.7414
97,marital,0.9879,0.9494,0.9108
98,income,0.7712,0.7305,0.734
98,marital,0.9897,0.957,0.9267
99,income,0.7644,0.7525,0.7447
99,marital,0.9889,0.9457,0.9068
0,income,0.9127,0.911,0.9042
0,marital,0.9838,0.9684,0.9693
1,income,0.9152,0.9047,0.9022
1,marital,0.9854,0.9569,0.9749
2,income,0.9302,0.9126,0.9125
2,marital,0.9919,0.9665,0.9805
3,income,0.9286,0.9126,0.909
3,marital,0.9925,0.9687,0.978
4,income,0.9304,0.9152,0.9129
4,marital,0.9903,0.9724,0.9745
5,income,0.9376,0.8167,0.9189
5,marital,0.9903,0.9776,0.9818
6,income,0.9377,0.9296,0.9223
6,marital,0.993,0.9694,0.9793
7,income,0.9323,0.9037,0.9043
7,marital,0.9904,0.9616,0.9747
8,income,0.9417,0.8286,0.9293
8,marital,0.9884,0.9648,0.9656
9,income,0.9392,0.8324,0.9236
9,marital,0.9909,0.9706,0.9731
10,income,0.9431,0.8268,0.9301
10,marital,0.9933,0.967,0.977
11,income,0.9293,0.791,0.8705
11,marital,0.9923,0.9726,0.9798
12,income,0.942,0.8078,0.923
12,marital,0.9937,0.9698,0.9758
13,income,0.9397,0.9036,0.9247
13,marital,0.9932,0.9709,0.9754
14,income,0.9416,0.8528,0.9251
14,marital,0.9928,0.9733,0.9756
15,income,0.9432,0.8287,0.9216
15,marital,0.9905,0.9673,0.9768
16,income,0.9441,0.8152,0.9279
16,marital,0.9895,0.9826,0.9742
17,income,0.9419,0.8214,0.9307
17,marital,0.9911,0.9654,0.9754
18,income,0.9426,0.8407,0.9322
18,marital,0.9896,0.9819,0.9736
19,income,0.9437,0.8101,0.9227
19,marital,0.9917,0.9833,0.9782
20,income,0.9421,0.8268,0.9328
20,marital,0.9936,0.971,0.9772
21,income,0.9393,0.8008,0.9214
21,marital,0.99,0.9747,0.9748
22,income,0.9367,0.8442,0.9226
22,marital,0.9938,0.9686,0.9756
23,income,0.9426,0.811,0.9265
23,marital,0.994,0.97,0.9759
24,income,0.9438,0.7999,0.907
24,marital,0.9902,0.9636,0.9744
25,income,0.9386,0.7895,0.8516
25,marital,0.9901,0.9653,0.975
26,income,0.9444,0.792,0.9047
26,marital,0.99,0.9718,0.979
27,income,0.9411,0.8977,0.934
27,marital,0.9936,0.9723,0.9737
28,income,0.9447,0.8099,0.9257
28,marital,0.9921,0.9704,0.9699
29,income,0.9427,0.7909,0.9025
29,marital,0.993,0.9666,0.9737
30,income,0.945,0.8084,0.929
30,marital,0.9913,0.9668,0.9654
31,income,0.944,0.8066,0.9274
31,marital,0.9915,0.9692,0.969
32,income,0.9432,0.793,0.8898
32,marital,0.9901,0.965,0.9734
33,income,0.9451,0.8039,0.9253
33,marital,0.9934,0.9737,0.9748
34,income,0.9416,0.8161,0.9317
34,marital,0.994,0.9688,0.9712
35,income,0.9453,0.7847,0.8842
35,marital,0.9929,0.9708,0.9702
36,income,0.9423,0.8036,0.9202
36,marital,0.994,0.9697,0.971
37,income,0.9454,0.7961,0.9034
37,marital,0.9922,0.9686,0.9673
38,income,0.9459,0.7902,0.8983
38,marital,0.9911,0.9598,0.9587
39,income,0.9448,0.7959,0.9148
39,marital,0.9939,0.9702,0.9689
40,income,0.9464,0.7899,0.9004
40,marital,0.9936,0.9666,0.9686
41,income,0.9457,0.764,0.8845
41,marital,0.9922,0.974,0.9673
42,income,0.946,0.757,0.8882
42,marital,0.9903,0.9656,0.959
43,income,0.9447,0.7549,0.8191
43,marital,0.9938,0.9631,0.9644
44,income,0.9432,0.7594,0.8219
44,marital,0.9895,0.9594,0.9545
45,income,0.9433,0.8225,0.9373
45,marital,0.9933,0.9605,0.9548
46,income,0.9463,0.7894,0.8986
46,marital,0.9921,0.9724,0.9607
47,income,0.9466,0.767,0.874
47,marital,0.9931,0.9615,0.956
48,income,0.9444,0.7795,0.9062
48,marital,0.9938,0.9639,0.9597
49,income,0.9458,0.7592,0.8789
49,marital,0.9906,0.9677,0.9618
50,income,0.9442,0.7926,0.9236
50,marital,0.9929,0.9612,0.9552
51,income,0.945,0.7751,0.9069
51,marital,0.9929,0.9623,0.9562
52,income,0.9451,0.7773,0.8932
52,marital,0.9925,0.9582,0.9509
53,income,0.9447,0.7636,0.8911
53,marital,0.9917,0.9565,0.9499
54,income,0.9455,0.7615,0.8948
54,marital,0.9929,0.9601,0.9539
55,income,0.9423,0.7589,0.876
55,marital,0.9941,0.9581,0.9523
56,income,0.9451,0.8076,0.9276
56,marital,0.9938,0.9607,0.9546
57,income,0.947,0.7889,0.8733
57,marital,0.9923,0.9569,0.949
58,income,0.9445,0.7929,0.9141
58,marital,0.9917,0.9578,0.9521
59,income,0.944,0.782,0.8918
59,marital,0.9938,0.9606,0.9539
60,income,0.9442,0.7925,0.8636
60,marital,0.9939,0.9605,0.9536
61,income,0.9468,0.7844,0.8902
61,marital,0.9921,0.9538,0.9485
62,income,0.9462,0.7519,0.8238
